"100;1"
"200;1"
"300;32"
"400;61"
"500;116"
"600;19"
"700;349"
"800;465"
"900;645"
"1000;876"
"1100;116"
"1200;1475"
"1300;1891"
"1400;2373"
"1500;2976"
"1600;3764"
"1700;4329"
"1800;5331"
"1900;6423"
"2000;6923"
"2100;8646"
"2200;9351"
"2300;11289"
"2400;12497"
"2500;13597"
"2600;15973"
"2700;18043"
"2800;19598"
"2900;21718"
"3000;24374"
"3100;26782"
"3200;29662"
"3300;32091"
"3400;35128"
"3500;40623"
"3600;47381"
"3700;51239"
"3800;48483"
"3900;52433"
"4000;56989"
"4100;6131"
"4200;66406"
"4300;7032"
"4400;76269"
"4500;80979"
"4600;8597"
"4700;91627"
"4800;98344"
"4900;103856"
"5000;111039"
